,board_sizes,binary_space,fitness_function,penalty_function,num_particles,c1,c2,inertia,max_velocity,min_velocity,fitness_evals,fitness_values,num_knights,num_covered_squares,solutions,algorithm
0,4,True,fitness_space_pso_paper,,100,1,1,0.99,4,-4,0,7,5,15,[1 1 0 0 1 1 0 0 1 0 0 0 0 0 0 0],PSO
1,4,True,fitness_space_pso_paper,,100,1,1,0.99,4,-4,100,7,5,15,[1 1 0 0 1 1 0 0 1 0 0 0 0 0 0 0],PSO
2,4,True,fitness_space_pso_paper,,100,1,1,0.99,4,-4,200,7,5,15,[1 1 0 0 1 1 0 0 1 0 0 0 0 0 0 0],PSO
3,4,True,fitness_space_pso_paper,,100,1,1,0.99,4,-4,300,7,6,16,[1 0 0 0 0 1 1 0 0 1 1 0 1 0 0 0],PSO
4,4,True,fitness_space_pso_paper,,100,1,1,0.99,4,-4,400,7,6,16,[1 0 0 0 0 1 1 0 0 1 1 0 1 0 0 0],PSO
5,4,True,fitness_space_pso_paper,,100,1,1,0.99,4,-4,500,7,6,16,[1 0 0 0 0 1 1 0 0 1 1 0 1 0 0 0],PSO
6,4,True,fitness_space_pso_paper,,100,1,1,0.99,4,-4,600,7,6,16,[1 0 0 0 0 1 1 0 0 1 1 0 1 0 0 0],PSO
7,4,True,fitness_space_pso_paper,,100,1,1,0.99,4,-4,700,7,6,16,[1 0 0 0 0 1 1 0 0 1 1 0 1 0 0 0],PSO
8,4,True,fitness_space_pso_paper,,100,1,1,0.99,4,-4,800,7,6,16,[1 0 0 0 0 1 1 0 0 1 1 0 1 0 0 0],PSO
9,4,True,fitness_space_pso_paper,,100,1,1,0.99,4,-4,900,7,6,16,[1 0 0 0 0 1 1 0 0 1 1 0 1 0 0 0],PSO
10,4,True,fitness_space_pso_paper,,100,1,1,0.99,4,-4,1000,7,6,16,[1 0 0 0 0 1 1 0 0 1 1 0 1 0 0 0],PSO
1000,4,True,fitness_space_pso_paper,,100,1,1,0.99,4,-4,0,7,6,16,[0 0 1 1 0 1 1 1 0 0 0 1 0 0 0 0],PSO
1001,4,True,fitness_space_pso_paper,,100,1,1,0.99,4,-4,100,7,6,16,[0 0 1 1 0 1 1 1 0 0 0 1 0 0 0 0],PSO
1002,4,True,fitness_space_pso_paper,,100,1,1,0.99,4,-4,200,7,6,16,[0 0 1 1 0 1 1 1 0 0 0 1 0 0 0 0],PSO
