,board_sizes,fitness_function,penalty_function,allowed_plateau_steps,plateau_tolerance,fitness_evals,fitness_values,num_knights,num_covered_squares,solutions,algorithm
0,4,fitness_space_pso_paper,,100,0.1,0,12,12,16,[1 0 1 0 1 1 1 1 1 0 1 0 1 1 1 1],StochasticHillclimb
1,4,fitness_space_pso_paper,,100,0.1,1,11,11,16,[1 0 1 0 1 1 1 1 1 0 1 0 1 1 1 0],StochasticHillclimb
2,4,fitness_space_pso_paper,,100,0.1,2,10,10,16,[1 0 1 0 1 1 1 1 1 0 0 0 1 1 1 0],StochasticHillclimb
3,4,fitness_space_pso_paper,,100,0.1,3,9,9,16,[0 0 1 0 1 1 1 1 1 0 0 0 1 1 1 0],StochasticHillclimb
4,4,fitness_space_pso_paper,,100,0.1,4,8,8,16,[0 0 1 0 1 1 1 1 0 0 0 0 1 1 1 0],StochasticHillclimb
5,4,fitness_space_pso_paper,,100,0.1,5,7,7,16,[0 0 0 0 1 1 1 1 0 0 0 0 1 1 1 0],StochasticHillclimb
6,4,fitness_space_pso_paper,,100,0.1,6,6,6,16,[0 0 0 0 1 1 1 1 0 0 0 0 0 1 1 0],StochasticHillclimb
7,4,fitness_space_pso_paper,,100,0.1,7,5,5,16,[0 0 0 0 1 1 1 1 0 0 0 0 0 0 1 0],StochasticHillclimb
8,4,fitness_space_pso_paper,,100,0.1,8,4,4,16,[0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0],StochasticHillclimb
1000,4,fitness_space_pso_paper,,100,0.1,0,10,10,16,[1 1 0 0 0 1 0 1 1 1 0 1 1 1 0 1],StochasticHillclimb
1001,4,fitness_space_pso_paper,,100,0.1,1,9,9,16,[1 1 0 0 0 1 0 1 1 1 0 1 0 1 0 1],StochasticHillclimb
1002,4,fitness_space_pso_paper,,100,0.1,2,8,8,16,[0 1 0 0 0 1 0 1 1 1 0 1 0 1 0 1],StochasticHillclimb
1003,4,fitness_space_pso_paper,,100,0.1,3,9,7,15,[0 1 0 0 0 1 0 1 1 1 0 1 0 0 0 1],StochasticHillclimb
1004,4,fitness_space_pso_paper,,100,0.1,4,8,6,15,[0 1 0 0 0 1 0 0 1 1 0 1 0 0 0 1],StochasticHillclimb
1005,4,fitness_space_pso_paper,,100,0.1,5,7,5,15,[0 1 0 0 0 1 0 0 0 1 0 1 0 0 0 1],StochasticHillclimb
1006,4,fitness_space_pso_paper,,100,0.1,6,6,6,16,[0 1 1 0 0 1 0 0 0 1 0 1 0 0 0 1],StochasticHillclimb
1007,4,fitness_space_pso_paper,,100,0.1,7,7,5,15,[0 1 1 0 0 1 0 0 0 1 0 0 0 0 0 1],StochasticHillclimb
1008,4,fitness_space_pso_paper,,100,0.1,8,6,6,16,[0 1 1 0 1 1 0 0 0 1 0 0 0 0 0 1],StochasticHillclimb
1009,4,fitness_space_pso_paper,,100,0.1,9,5,5,16,[0 1 0 0 1 1 0 0 0 1 0 0 0 0 0 1],StochasticHillclimb
1010,4,fitness_space_pso_paper,,100,0.1,10,6,4,15,[0 1 0 0 1 1 0 0 0 1 0 0 0 0 0 0],StochasticHillclimb
1011,4,fitness_space_pso_paper,,100,0.1,11,5,5,16,[0 1 0 0 1 1 1 0 0 1 0 0 0 0 0 0],StochasticHillclimb
1012,4,fitness_space_pso_paper,,100,0.1,12,6,4,15,[0 1 0 0 1 1 0 0 0 1 0 0 0 0 0 0],StochasticHillclimb
1013,4,fitness_space_pso_paper,,100,0.1,13,5,5,16,[1 1 0 0 1 1 0 0 0 1 0 0 0 0 0 0],StochasticHillclimb
1014,4,fitness_space_pso_paper,,100,0.1,14,6,4,15,[1 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0],StochasticHillclimb
1015,4,fitness_space_pso_paper,,100,0.1,15,5,5,16,[1 1 0 0 1 1 0 0 0 1 0 0 0 0 0 0],StochasticHillclimb
